Deal_Ratio,Condition,Deal_Quality,Listing_Price,Year,Make,Model,Mileage,Location,Facebook_URL,Market_Prices
0.826,Excellent,Poor,8000,2009,Ford,E250,15000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1355585379527970/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2232759957263603584%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A32759957263603584%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A14%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0017482900633144%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2232759957263603584%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$5712,$6585,$7526"
0.793,Unknown,Poor,12000,2020,Nissan,Nv200,Unknown,"Atlanta, GA",https://www.facebook.com/marketplace/item/2288852241535941/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2225267899599502047%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25267899599502047%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A31%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0015452750549201%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225267899599502047%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$9139,$10536,$12042"
0.743,Unknown,Poor,7000,1999,Ford,Coachman,Unknown,"Atlanta, GA",https://www.facebook.com/marketplace/item/1143719997191292/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2224645662438438639%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24645662438438639%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A13%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0017482910633144%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224645662438438639%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$4998,$5762,$6585"
0.702,Fair,Poor,2500,1998,Ford,Mustang,84000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1459357188697225/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2225255727914064498%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25255727914064498%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A24%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0016031145682888%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225255727914064498%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$1785,$2058,$2352"
0.644,Poor,Poor,800,1999,Toyota,Camry,231000,"Atlanta, GA",https://www.facebook.com/marketplace/item/2227694814401677/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2231832123896402499%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A31832123896402499%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A8%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0017482960633144%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2231832123896402499%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$594,$684,$782"
0.644,Poor,Poor,5500,2013,Honda,Cr-V,200000,"Atlanta, GA",https://www.facebook.com/marketplace/item/615706774870253/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2225098280879767978%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25098280879767978%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A23%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0016071356861507%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225098280879767978%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$4084,$4708,$5381"
0.62,Poor,Poor,15000,2004,Ford,F-250,300000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1474942656856153/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2231745475158376766%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A31745475158376766%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A40%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014513602165916%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2231745475158376766%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$10710,$12348,$14112"
0.619,Poor,Poor,11500,2016,Ford,Transit,131000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1121019866621627/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2225361529110115743%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25361529110115743%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A12%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0017482920633144%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225361529110115743%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$8211,$9466,$10819"
0.619,Poor,Poor,16500,2015,Chevrolet,1500,192000,"Atlanta, GA",https://www.facebook.com/marketplace/item/4278387532398332/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2225668846279385193%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25668846279385193%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A21%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0016354340389385%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225668846279385193%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$11781,$13582,$15523"
0.619,Poor,Poor,3500,2004,Chevrolet,1500,345000,"Atlanta, GA",https://www.facebook.com/marketplace/item/792306276604972/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077694179745683774%22%2C%22mf_story_key%22%3A%2225369825345944466%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25369825345944466%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A37%2C%5C%22ranking_signature%5C%22%3A6924044595105555005%2C%5C%22ranking_request_id%5C%22%3A7657003630755251597%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014769648792037%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225369825345944466%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$2499,$2881,$3292"
