Deal_Ratio,Condition,Deal_Quality,Listing_Price,Year,Make,Model,Mileage,Location,Facebook_URL,Market_Prices
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1555834992396258/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1838449053728303/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/872471685343813/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/801251409463860/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1153723300197876/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1592191578821970/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/881723130847423/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1294946989048146/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/2600185960343330/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1454906615613830/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/788134320705022/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/769978442739008/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/31950349257945838/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1349284909967519/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1362113822253834/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1454954365577040/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/2544075112628655/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1516124006001617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1852031058854493/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/2014421479306999/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1314409536667447/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1714748592531764/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/816559021020648/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
0.619,Poor,Poor,2800,2014,Dodge,Charger Se,175000,"Blanc, MI",https://www.facebook.com/marketplace/item/1507551160394308/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1999,$2304,$2634"
