Deal_Ratio,Condition,Deal_Quality,Listing_Price,Year,Make,Model,Mileage,Location,Facebook_URL,Market_Prices
0.793,Unknown,Poor,12000,2020,Nissan,Nv200,Unknown,"Atlanta, GA",https://www.facebook.com/marketplace/item/2288852241535941/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2225267899599502047%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25267899599502047%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A25%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0018232282558833%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225267899599502047%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$9139,$10536,$12042"
0.773,Unknown,Poor,4500,2008,Honda,Trx450Er,Unknown,"Atlanta, GA",https://www.facebook.com/marketplace/item/1575991736717119/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2224697609363260149%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24697609363260149%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A36%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0016742866561092%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224697609363260149%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$3341,$3852,$4402"
0.702,Fair,Poor,2500,1998,Ford,Mustang,84000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1459357188697225/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2225255727914064498%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25255727914064498%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A18%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0019485970186775%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225255727914064498%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$1785,$2058,$2352"
0.702,Fair,Poor,15000,2018,Ford,Edge,114000,"Atlanta, GA",https://www.facebook.com/marketplace/item/4029762427262521/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2225047221494901961%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25047221494901961%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A24%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0018247078545236%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225047221494901961%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$10710,$12348,$14112"
0.668,Poor,Poor,350,2005,Bmw,3,125000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1153613799724381/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2232875216912065531%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A32875216912065531%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A31%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0017183901039282%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2232875216912065531%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$269,$311,$355"
0.619,Poor,Poor,1500,2005,Ford,E250,123000,"Atlanta, GA",https://www.facebook.com/marketplace/item/844795941424003/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2224728812480153078%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24728812480153078%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A1%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.002832957415961%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224728812480153078%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$1071,$1234,$1411"
0.619,Poor,Poor,11500,2016,Ford,Transit,131000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1121019866621627/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2225361529110115743%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25361529110115743%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A7%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0019706537621094%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225361529110115743%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$8211,$9466,$10819"
0.619,Poor,Poor,2000,2010,Ford,Flex,158000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1893693181565817/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2232113435448271511%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A32113435448271511%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A8%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0019706527621094%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2232113435448271511%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$1428,$1646,$1881"
0.619,Poor,Poor,17000,2017,Ford,Transit,192000,"Atlanta, GA",https://www.facebook.com/marketplace/item/2540503586319235/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2224661737510165325%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24661737510165325%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A14%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0019706467621094%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224661737510165325%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$12138,$13994,$15993"
0.619,Poor,Poor,8000,2002,Ford,F-250,220000,"Atlanta, GA",https://www.facebook.com/marketplace/item/805406692060924/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077691567153225510%22%2C%22mf_story_key%22%3A%2224727315226864504%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24727315226864504%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A16%2C%5C%22ranking_signature%5C%22%3A2300427495386960559%2C%5C%22ranking_request_id%5C%22%3A8208606825869711447%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0019706447621094%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224727315226864504%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$5712,$6585,$7526"
