Deal_Ratio,Condition,Deal_Quality,Listing_Price,Year,Make,Model,Mileage,Location,Facebook_URL,Market_Prices
0.76,Good,Poor,12500,2018,Acura,"Ilx Atlanta,",54000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1567237611082758/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2233200447659554046%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A33200447659554046%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A9%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00099802099877778%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2233200447659554046%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$8925,$10290,$11760"
0.76,Good,Poor,16000,2018,Infiniti,Q50 3.0T,57000,"Stockbridge, GA",https://www.facebook.com/marketplace/item/813939621281993/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2233167122822886662%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A33167122822886662%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A18%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0013815854525052%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2233167122822886662%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$11424,$13171,$15052"
0.702,Fair,Poor,5400,2016,Ford,Fusion Se,119000,"Norcross, GA",https://www.facebook.com/marketplace/item/25032994103044435/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2231922150094099256%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A31922150094099256%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A3%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014346476428229%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2231922150094099256%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$3855,$4445,$5080"
0.702,Fair,Poor,4500,2014,Ford,Focus Se,113000,"Covington, GA",https://www.facebook.com/marketplace/item/826104830286971/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2224864861846533309%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24864861846533309%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A1%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0015238058313091%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224864861846533309%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$3213,$3704,$4233"
0.702,Fair,Poor,2500,2012,Jeep,Grand Cherokee,100000,"Loganville, GA",https://www.facebook.com/marketplace/item/801353349173533/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2224831508689841027%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24831508689841027%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A12%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0012951290787546%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224831508689841027%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$1785,$2058,$2352"
0.669,Poor,Poor,9995,2017,Bmw,3 Series,130000,"Loganville, GA",https://www.facebook.com/marketplace/item/1357814039289327/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2233175013652097621%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A33175013652097621%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A14%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2233175013652097621%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$7707,$8886,$10155"
0.644,Poor,Poor,3650,2012,Toyota,Camry Le,248000,"Lawrenceville, GA",https://www.facebook.com/marketplace/item/1204391588414370/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2225096678239943846%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25096678239943846%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A6%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225096678239943846%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$2710,$3124,$3571"
0.644,Poor,Poor,3400,2009,Toyota,Corolla S,166000,"Norcross, GA",https://www.facebook.com/marketplace/item/2722912484727210/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2225716186941306830%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25716186941306830%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A0%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0018358137572363%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225716186941306830%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$2524,$2910,$3326"
0.62,Poor,Poor,10000,2017,Dodge,Durango Gt,160000,"Duluth, GA",https://www.facebook.com/marketplace/item/719768044479017/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2233112969558301738%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A33112969558301738%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A7%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.001031877678499%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2233112969558301738%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$7140,$8232,$9408"
0.619,Poor,Poor,2900,2004,Ford,Ranger Regular,163000,"Temple, GA",https://www.facebook.com/marketplace/item/825050177147740/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077513241225392061%22%2C%22mf_story_key%22%3A%2232576151758635691%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A32576151758635691%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A19%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0012904020245353%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2232576151758635691%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$2070,$2387,$2728"
