Deal_Ratio,Condition,Deal_Quality,Listing_Price,Year,Make,Model,Mileage,Location,Facebook_URL,Market_Prices
0.773,Unknown,Poor,4500,2008,Honda,Trx450Er,Unknown,"Atlanta, GA",https://www.facebook.com/marketplace/item/1575991736717119/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2224697609363260149%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24697609363260149%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A32%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014781753088385%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224697609363260149%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$3341,$3852,$4402"
0.773,Unknown,Poor,2300,2003,Honda,300Ex,Unknown,"Atlanta, GA",https://www.facebook.com/marketplace/item/1323493766096341/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2231307919118856281%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A31307919118856281%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A34%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014666822514484%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2231307919118856281%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$1707,$1969,$2250"
0.702,Fair,Poor,2500,1998,Ford,Mustang,84000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1459357188697225/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2225255727914064498%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25255727914064498%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A20%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0016303892915426%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225255727914064498%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$1785,$2058,$2352"
0.702,Fair,Poor,4500,2014,Ford,Focus,113000,"Atlanta, GA",https://www.facebook.com/marketplace/item/826104830286971/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2224864861846533309%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24864861846533309%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A26%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0015238058313091%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224864861846533309%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$3213,$3704,$4233"
0.702,Fair,Poor,5400,2016,Ford,Fusion,119000,"Atlanta, GA",https://www.facebook.com/marketplace/item/25032994103044435/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2231922150094099256%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A31922150094099256%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A36%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014346476428229%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2231922150094099256%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$3855,$4445,$5080"
0.644,Poor,Poor,3400,2009,Toyota,Corolla,166000,"Atlanta, GA",https://www.facebook.com/marketplace/item/2722912484727210/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2225716186941306830%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25716186941306830%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A17%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0018358137572363%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225716186941306830%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$2524,$2910,$3326"
0.644,Poor,Poor,4200,2006,Toyota,Le,191000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1318171696531793/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2231536916635955388%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A31536916635955388%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A22%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0015817240759016%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2231536916635955388%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$3118,$3595,$4109"
0.62,Poor,Poor,15000,2004,Ford,F-250,300000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1474942656856153/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2231745475158376766%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A31745475158376766%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A40%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014220245433171%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2231745475158376766%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$10710,$12348,$14112"
0.619,Poor,Poor,9800,2017,Ford,F-150,215000,"Atlanta, GA",https://www.facebook.com/marketplace/item/2151076255300585/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2224310169208660723%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24310169208660723%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A8%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.001870259523576%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224310169208660723%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$6997,$8067,$9219"
0.619,Poor,Poor,3000,2012,Chevrolet,Tahoe,123000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1337239787931434/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2224988908194063959%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24988908194063959%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A21%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0015991169268425%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224988908194063959%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$2142,$2469,$2822"
0.619,Poor,Poor,6800,2015,Volkswagen,Tiguan,136000,"Atlanta, GA",https://www.facebook.com/marketplace/item/1169102525145976/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2224852494631038742%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24852494631038742%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A30%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014845168401364%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224852494631038742%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$4855,$5597,$6397"
0.619,Poor,Poor,4900,2016,Hyundai,Sonata,140000,"Atlanta, GA",https://www.facebook.com/marketplace/item/816924041304839/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2225763057689950836%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25763057689950836%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A35%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014584526216767%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225763057689950836%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$3498,$4033,$4609"
0.619,Poor,Poor,3500,2004,Chevrolet,1500,345000,"Atlanta, GA",https://www.facebook.com/marketplace/item/792306276604972/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-8077651642307999136%22%2C%22mf_story_key%22%3A%2225369825345944466%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25369825345944466%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A41%2C%5C%22ranking_signature%5C%22%3A6030755705914833841%2C%5C%22ranking_request_id%5C%22%3A8413195922144480811%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0014092997149809%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225369825345944466%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD,"$2499,$2881,$3292"
